"reddperc" "presperc" "statperc" "reddreal" "presreal"
-0.931 -1.043 -0.585 -0.948 -1.644
0.245 0.446 -0.119 -0.882 0.707
0.071 -0.527 -0.095 -0.202 -0.412
-0.384 0.262 -0.179 0.251 -0.993
-1.213 -0.624 0.009 -0.63 -1.189
-0.959 -0.623 -0.429 -0.809 -2.146
0.023 0.77 0.466 -1.363 -0.565
-0.348 -1.345 -0.181 -1.928 -0.064
-0.381 -0.844 -1.538 -1.7 -0.579
-0.682 -0.276 -0.251 -1.284 -0.771
-0.375 -0.318 -1.103 -0.044 -1.39
-0.218 -0.797 -0.77 -1.485 1.856
0.681 0.329 0.397 0.374 -0.002
0.364 -0.707 0.183 -2.308 -0.881
0.988 0.405 0.649 0.073 -0.645
-0.614 -0.95 -0.992 1.637 -0.24
-0.753 0.058 -1.084 -0.341 -0.435
0.628 -0.162 0.493 1.969 0.09
-0.312 -0.252 0.562 0.69 -0.448
-0.643 -0.021 0.121 -1.517 0.762
-0.783 -0.61 -0.783 -0.581 -1.024
0.218 0.563 0.711 1.401 0.442
-0.417 0.496 0.549 -0.719 0.058
1.194 1.003 0.452 -0.548 -1.541
-0.023 0.648 0.611 -0.405 -0.515
-0.377 0.337 -0.03 -1.429 -1.207
0.248 0 1.241 1.352 -0.214
-0.839 -1.04 -0.2 -0.4 0.33
-0.001 -0.314 0.14 -0.317 -0.777
-0.67 0.34 -0.879 -0.106 0.557
1.333 0.684 0.628 1.197 -0.72
-0.314 -0.278 -0.062 -0.987 -2.285
-0.382 -0.165 -0.483 -1.915 -0.155
-0.834 -0.579 -0.087 0.887 0.802
1.287 0.277 0.171 0.175 0.739
1.119 0.795 -0.337 -0.89 -1.064
-0.98 -0.315 -0.29 -0.832 -0.54
1.188 0.153 0.807 0.308 -0.807
-0.381 -0.26 0.004 -1.739 -0.441
0.211 0.313 0.344 0.298 1.282
-0.176 -0.191 0.423 -0.446 0.179
0.38 0.481 0.382 1.484 1.065
0.495 0.764 -0.219 0.474 0.758
-0.374 0.439 0.206 1.721 -0.03
-0.655 0.344 -1.594 0.518 -1.596
-0.289 -0.785 -0.463 0.217 -0.06
0.253 0.283 0.673 0.72 -1.401
1.332 0.457 -0.296 0.418 0.065
0.888 -1.078 -0.026 -0.15 -0.779
-0.572 0.735 -0.348 -1.102 0.292
0.172 0.206 0.755 0.29 -0.765
-0.739 -0.671 0.249 0.262 0.07
-0.593 -0.712 -0.411 0.017 0.703
-0.339 0.09 0.669 0.486 1.752
0.354 0.579 0.761 0.584 -0.494
-1.286 -0.85 0.197 0.633 -1.199
0.42 -0.414 0.312 0.674 -0.659
0.262 1.086 -0.547 -2.992 0.061
-0.659 -0.918 -0.538 -1.163 0.856
-0.317 -0.244 -0.717 -0.387 -0.131
-0.379 -1.551 0.351 1.032 0.171
0.358 -0.198 0.588 0.55 0.203
-0.135 -0.032 0.03 0.997 -1.434
0.628 0.203 1.775 -0.061 2.311
-0.985 -0.364 -0.247 -0.672 -0.069
-0.058 -0.142 0.079 0.539 1.967
-1.21 -0.532 -0.439 0.09 0.898
0.174 -0.705 0.829 0.54 -1.567
0.541 -0.469 -0.756 -0.396 -0.543
-0.868 -0.509 -1.184 0.103 -0.687
-0.587 -0.473 -0.473 0.159 -0.632
-0.061 -0.384 0.449 -1.015 -1.519
0.292 0.169 0.342 -1.029 -0.728
-0.051 -0.465 -1.117 1.599 0.061
-0.396 -0.406 0.287 -0.702 -0.615
0.99 1.082 0.562 -1.788 2.456
0.093 0.912 0.162 0.675 1.587
0.453 1.361 0.05 0.727 0.135
-0.305 0.11 -0.702 -0.415 0.676
0.077 -0.786 0.732 -0.037 -0.248
1.006 -0.042 0.143 -2.003 0.554
0.186 0.485 0.344 -0.742 0.316
-0.735 1.649 0.229 1.364 -1.14
-0.374 -0.338 -0.471 0.257 -0.427
-0.056 -0.23 0.372 0.658 -1.918
-1.362 -1.097 -0.303 0.267 -1.922
-0.385 0.335 0.357 0.608 -1.771
0.795 0.295 1.24 -0.044 1.398
-0.824 0.025 -0.684 -0.798 0.768
0.156 -0.713 -0.55 -0.847 0.735
-0.369 1.054 0.65 0.608 -0.827
0.038 -1.213 -0.548 -1.281 -0.337
-0.861 0.213 0.619 -0.004 -0.472
0.188 0.277 0.25 -1.263 -0.323
0.732 0.631 0.213 -0.152 -1.075
0.057 -0.185 -0.285 -0.22 1.1
